#Created by HistoryFileGenerator at Fri May 19 18:36:58 MSK 2017
#Parameters: O=../PLok/hs/h1.csv, N=1019, Q=20000, R=20, W=5
@1019
!HOT_RANGES/RECENT_TRACKING/1-20, 70-90/5
3420,712,916,3416,3420
3440,712,916,3435,3440
3460,10,203,3456,3460
3480,712,916,3476,3480
3500,712,916,3496,3500
3520,10,203,3516,3520
3540,712,916,3535,3540
3560,712,916,3555,3560
3580,10,203,3575,3580
3600,10,203,3596,3600
3620,712,916,3616,3620
3640,712,916,3635,3640
3660,712,916,3655,3660
3680,712,916,3675,3680
3700,455,741,3696,3700
3720,712,916,3715,3720
3740,712,916,3736,3740
3760,538,801,3755,3760
3780,525,636,3776,3780
3800,10,203,3796,3800
3820,712,916,3815,3820
3840,712,916,3835,3840
3860,10,203,3856,3860
3880,10,203,3876,3880
3900,10,203,3895,3900
3920,10,203,3915,3920
3940,712,916,3936,3940
3960,10,203,3955,3960
3980,10,203,3976,3980
4000,712,916,3995,4000
4020,712,916,4016,4020
4040,10,203,4035,4040
4060,712,916,4056,4060
4080,712,916,4076,4080
4100,10,203,4095,4100
4120,10,203,4115,4120
4140,280,510,4136,4140
4160,10,203,4156,4160
4180,10,203,4175,4180
4200,712,916,4195,4200
4220,712,916,4216,4220
4240,712,916,4235,4240
4260,712,916,4255,4260
4280,10,203,4275,4280
4300,10,203,4295,4300
4320,10,203,4315,4320
4340,712,916,4336,4340
4360,507,578,4355,4360
4380,712,916,4376,4380
4400,10,203,4395,4400
4420,712,916,4416,4420
4440,10,203,4436,4440
4460,712,916,4456,4460
4480,712,916,4476,4480
4500,712,916,4495,4500
4520,712,916,4515,4520
4540,10,203,4535,4540
4560,536,677,4556,4560
4580,10,203,4576,4580
4600,712,916,4595,4600
4620,79,662,4616,4620
4640,10,203,4636,4640
4660,712,916,4656,4660
4680,10,203,4676,4680
4700,712,916,4696,4700
4720,10,203,4715,4720
4740,10,203,4736,4740
4760,10,203,4756,4760
4780,712,916,4775,4780
4800,10,203,4796,4800
4820,712,916,4815,4820
4840,712,916,4835,4840
4860,10,203,4856,4860
4880,712,916,4876,4880
4900,10,203,4896,4900
4920,712,916,4916,4920
4940,443,576,4935,4940
4960,856,863,4955,4960
4980,712,916,4975,4980
5000,712,916,4995,5000
5020,712,916,5016,5020
5040,712,916,5036,5040
5060,712,916,5055,5060
5080,712,916,5075,5080
5100,10,203,5096,5100
5120,10,203,5116,5120
5140,154,437,5135,5140
5160,712,916,5156,5160
5180,10,203,5175,5180
5200,10,203,5196,5200
5220,712,916,5215,5220
5240,712,916,5235,5240
5260,712,916,5255,5260
5280,712,916,5275,5280
5300,10,203,5295,5300
5320,531,941,5315,5320
5340,10,203,5335,5340
5360,712,916,5356,5360
5380,993,998,5375,5380
5400,727,904,5395,5400
5420,10,203,5416,5420
5440,10,203,5435,5440
5460,712,916,5455,5460
5480,641,774,5475,5480
5500,10,203,5495,5500
5520,10,203,5516,5520
5540,10,203,5535,5540
5560,10,203,5556,5560
5580,712,916,5575,5580
5600,10,203,5596,5600
5620,10,203,5616,5620
5640,10,203,5636,5640
5660,10,203,5656,5660
5680,712,916,5676,5680
5700,712,916,5696,5700
5720,712,916,5715,5720
5740,712,916,5736,5740
5760,712,916,5756,5760
5780,712,916,5776,5780
5800,712,916,5796,5800
5820,712,916,5815,5820
5840,712,916,5835,5840
5860,10,203,5855,5860
5880,211,743,5875,5880
5900,712,916,5896,5900
5920,712,916,5915,5920
5940,712,916,5936,5940
5960,712,916,5956,5960
5980,10,203,5975,5980
6000,10,203,5995,6000
6020,512,633,6016,6020
6040,10,203,6035,6040
6060,712,916,6056,6060
6080,10,203,6076,6080
6100,10,203,6096,6100
6120,10,203,6116,6120
6140,144,475,6136,6140
6160,10,203,6156,6160
6180,712,916,6175,6180
6200,712,916,6196,6200
6220,10,203,6215,6220
6240,685,778,6236,6240
6260,712,916,6256,6260
6280,10,203,6276,6280
6300,712,916,6296,6300
6320,712,916,6316,6320
6340,712,916,6335,6340
6360,712,916,6355,6360
6380,712,916,6376,6380
6400,10,203,6396,6400
6420,10,203,6416,6420
6440,10,203,6436,6440
6460,10,203,6455,6460
6480,10,203,6476,6480
6500,10,203,6496,6500
6520,10,203,6516,6520
6540,10,203,6536,6540
6560,712,916,6556,6560
6580,712,916,6575,6580
6600,712,916,6595,6600
6620,327,444,6616,6620
6640,10,203,6636,6640
6660,10,203,6655,6660
6680,10,203,6676,6680
6700,712,916,6696,6700
6720,712,916,6715,6720
6740,10,203,6735,6740
6760,712,916,6755,6760
6780,148,835,6776,6780
6800,712,916,6796,6800
6820,712,916,6815,6820
6840,10,203,6835,6840
6860,712,916,6856,6860
6880,729,798,6875,6880
6900,10,203,6895,6900
6920,10,203,6916,6920
6940,58,1008,6935,6940
6960,712,916,6955,6960
6980,10,203,6975,6980
7000,10,203,6996,7000
7020,712,916,7015,7020
7040,9,642,7036,7040
7060,712,916,7056,7060
7080,10,203,7076,7080
7100,460,483,7095,7100
7120,712,916,7116,7120
7140,712,916,7136,7140
7160,10,203,7156,7160
7180,10,203,7176,7180
7200,10,203,7195,7200
7220,712,916,7215,7220
7240,712,916,7236,7240
7260,10,203,7255,7260
7280,374,652,7275,7280
7300,712,916,7295,7300
7320,10,203,7315,7320
7340,712,916,7335,7340
7360,575,733,7355,7360
7380,10,203,7376,7380
7400,712,916,7396,7400
7420,10,203,7415,7420
7440,501,824,7435,7440
7460,712,916,7456,7460
7480,86,708,7476,7480
7500,10,203,7495,7500
7520,712,916,7515,7520
7540,712,916,7536,7540
7560,712,916,7556,7560
7580,712,916,7576,7580
7600,10,203,7595,7600
7620,10,203,7615,7620
7640,10,203,7636,7640
7660,712,916,7655,7660
7680,712,916,7676,7680
7700,712,916,7695,7700
7720,712,916,7716,7720
7740,10,203,7735,7740
7760,10,203,7756,7760
7780,10,203,7775,7780
7800,712,916,7796,7800
7820,10,203,7815,7820
7840,712,916,7836,7840
7860,10,203,7855,7860
7880,603,944,7876,7880
7900,712,916,7896,7900
7920,712,916,7915,7920
7940,712,916,7935,7940
7960,582,659,7956,7960
7980,10,203,7975,7980
8000,10,203,7996,8000
8020,410,796,8015,8020
8040,10,203,8035,8040
8060,10,203,8055,8060
8080,712,916,8075,8080
8100,712,916,8095,8100
8120,10,203,8116,8120
8140,712,916,8135,8140
8160,712,916,8156,8160
8180,712,916,8175,8180
8200,10,203,8196,8200
8220,10,203,8216,8220
8240,10,203,8235,8240
8260,10,203,8255,8260
8280,10,203,8275,8280
8300,10,203,8296,8300
8320,10,203,8315,8320
8340,712,916,8336,8340
8360,10,203,8355,8360
8380,712,916,8375,8380
8400,10,203,8396,8400
8420,712,916,8415,8420
8440,712,916,8436,8440
8460,712,916,8455,8460
8480,10,203,8476,8480
8500,10,203,8496,8500
8520,635,1015,8515,8520
8540,712,916,8535,8540
8560,712,916,8555,8560
8580,10,203,8576,8580
8600,712,916,8596,8600
8620,415,956,8615,8620
8640,10,203,8636,8640
8660,10,203,8655,8660
8680,10,203,8676,8680
8700,10,203,8696,8700
8720,712,916,8716,8720
8740,712,916,8735,8740
8760,712,916,8756,8760
8780,712,916,8776,8780
8800,10,203,8795,8800
8820,712,916,8815,8820
8840,712,916,8836,8840
8860,10,203,8856,8860
8880,10,203,8875,8880
8900,10,203,8896,8900
8920,10,203,8915,8920
8940,10,203,8936,8940
8960,10,203,8956,8960
8980,712,916,8976,8980
9000,10,203,8996,9000
9020,712,916,9015,9020
9040,717,974,9036,9040
9060,712,916,9055,9060
9080,557,589,9075,9080
9100,930,956,9095,9100
9120,410,425,9116,9120
9140,543,629,9135,9140
9160,10,203,9156,9160
9180,59,504,9175,9180
9200,10,203,9195,9200
9220,712,916,9215,9220
9240,10,203,9235,9240
9260,10,203,9255,9260
9280,712,916,9275,9280
9300,712,916,9295,9300
9320,10,203,9315,9320
9340,712,916,9336,9340
9360,712,916,9355,9360
9380,10,203,9375,9380
9400,364,879,9395,9400
9420,712,916,9415,9420
9440,10,203,9435,9440
9460,10,203,9455,9460
9480,712,916,9476,9480
9500,712,916,9495,9500
9520,10,203,9515,9520
9540,10,203,9536,9540
9560,712,916,9555,9560
9580,712,916,9576,9580
9600,10,203,9595,9600
9620,10,203,9615,9620
9640,10,203,9635,9640
9660,10,203,9656,9660
9680,712,916,9676,9680
9700,10,203,9696,9700
9720,823,972,9715,9720
9740,712,916,9735,9740
9760,712,916,9755,9760
9780,10,203,9776,9780
9800,10,203,9795,9800
9820,10,203,9816,9820
9840,712,916,9835,9840
9860,10,203,9856,9860
9880,712,916,9875,9880
9900,10,203,9895,9900
9920,912,974,9915,9920
9940,712,916,9935,9940
9960,712,916,9955,9960
9980,712,916,9975,9980
10000,712,916,9995,10000
10020,712,916,10016,10020
10040,712,916,10035,10040
10060,712,916,10055,10060
10080,10,203,10075,10080
10100,712,916,10096,10100
10120,10,203,10116,10120
10140,10,203,10135,10140
10160,712,916,10156,10160
10180,794,891,10176,10180
10200,712,916,10195,10200
10220,10,203,10216,10220
10240,712,916,10235,10240
10260,712,916,10256,10260
10280,712,916,10275,10280
10300,10,203,10295,10300
10320,406,792,10315,10320
10340,10,203,10336,10340
10360,316,526,10355,10360
10380,712,916,10376,10380
10400,712,916,10395,10400
10420,10,203,10416,10420
10440,10,203,10436,10440
10460,124,726,10456,10460
10480,712,916,10475,10480
10500,712,916,10496,10500
10520,712,916,10515,10520
10540,712,916,10536,10540
10560,10,203,10556,10560
10580,712,916,10575,10580
10600,712,916,10596,10600
10620,10,203,10616,10620
10640,712,916,10635,10640
10660,712,916,10655,10660
10680,10,203,10676,10680
10700,712,916,10695,10700
10720,10,203,10715,10720
10740,10,203,10736,10740
10760,451,1015,10756,10760
10780,712,916,10776,10780
10800,10,203,10796,10800
10820,10,203,10815,10820
10840,712,916,10835,10840
10860,712,916,10856,10860
10880,10,203,10876,10880
10900,10,203,10896,10900
10920,245,556,10915,10920
10940,19,73,10936,10940
10960,10,203,10956,10960
10980,630,641,10976,10980
11000,712,916,10995,11000
11020,712,916,11016,11020
11040,10,203,11036,11040
11060,712,916,11056,11060
11080,712,916,11075,11080
11100,688,861,11095,11100
11120,10,203,11115,11120
11140,712,916,11136,11140
11160,10,203,11155,11160
11180,712,916,11176,11180
11200,712,916,11195,11200
11220,743,872,11215,11220
11240,712,916,11235,11240
11260,712,916,11255,11260
11280,10,203,11275,11280
11300,10,203,11295,11300
11320,10,203,11316,11320
11340,10,203,11336,11340
11360,10,203,11355,11360
11380,832,993,11376,11380
11400,712,916,11395,11400
11420,607,653,11416,11420
11440,10,203,11436,11440
11460,10,203,11455,11460
11480,781,799,11476,11480
11500,928,951,11495,11500
11520,10,203,11516,11520
11540,10,203,11535,11540
11560,712,916,11556,11560
11580,10,203,11576,11580
11600,712,916,11596,11600
11620,10,203,11615,11620
11640,10,203,11635,11640
11660,10,203,11655,11660
11680,10,203,11676,11680
11700,712,916,11695,11700
11720,31,275,11715,11720
11740,712,916,11736,11740
11760,10,203,11755,11760
11780,745,896,11775,11780
11800,10,203,11796,11800
11820,10,203,11816,11820
11840,493,659,11835,11840
11860,712,916,11855,11860
11880,10,203,11875,11880
11900,712,916,11896,11900
11920,712,916,11916,11920
11940,10,203,11935,11940
11960,712,916,11956,11960
11980,712,916,11976,11980
12000,712,916,11996,12000
12020,10,203,12016,12020
12040,712,916,12035,12040
12060,712,916,12055,12060
12080,712,916,12076,12080
12100,10,203,12096,12100
12120,10,203,12116,12120
12140,10,203,12136,12140
12160,712,916,12156,12160
12180,712,916,12176,12180
12200,525,894,12195,12200
12220,10,203,12215,12220
12240,712,916,12236,12240
12260,712,916,12255,12260
12280,712,916,12276,12280
12300,712,916,12296,12300
12320,712,916,12315,12320
12340,10,203,12335,12340
12360,10,203,12355,12360
12380,712,916,12376,12380
12400,712,916,12395,12400
12420,712,916,12415,12420
12440,10,203,12436,12440
12460,633,938,12455,12460
12480,9,779,12475,12480
12500,81,455,12496,12500
12520,712,916,12515,12520
12540,10,203,12535,12540
12560,712,916,12556,12560
12580,10,203,12575,12580
12600,10,203,12595,12600
12620,647,872,12615,12620
12640,231,833,12636,12640
12660,658,685,12655,12660
12680,10,203,12675,12680
12700,712,916,12696,12700
12720,56,552,12716,12720
12740,10,203,12736,12740
12760,10,203,12755,12760
12780,712,916,12775,12780
12800,10,203,12796,12800
12820,10,203,12815,12820
12840,712,916,12836,12840
12860,10,203,12855,12860
12880,712,916,12875,12880
12900,712,916,12896,12900
12920,10,203,12916,12920
12940,712,916,12935,12940
12960,10,203,12955,12960
12980,10,203,12975,12980
13000,712,916,12995,13000
13020,967,1005,13016,13020
13040,10,203,13035,13040
13060,712,916,13056,13060
13080,10,203,13075,13080
13100,712,916,13095,13100
13120,712,916,13116,13120
13140,10,203,13136,13140
13160,10,203,13156,13160
13180,712,916,13176,13180
13200,712,916,13195,13200
13220,587,642,13216,13220
13240,712,916,13236,13240
13260,712,916,13255,13260
13280,712,916,13275,13280
13300,10,203,13295,13300
13320,10,203,13315,13320
13340,712,916,13335,13340
13360,712,916,13356,13360
13380,712,916,13375,13380
13400,712,916,13396,13400
13420,712,916,13415,13420
13440,10,203,13436,13440
13460,712,916,13456,13460
13480,10,203,13476,13480
13500,10,203,13495,13500
13520,712,916,13515,13520
13540,712,916,13536,13540
13560,10,203,13556,13560
13580,10,203,13576,13580
13600,712,916,13595,13600
13620,84,264,13615,13620
13640,10,203,13635,13640
13660,712,916,13656,13660
13680,10,203,13676,13680
13700,712,916,13695,13700
13720,10,203,13716,13720
13740,10,203,13735,13740
13760,712,916,13755,13760
13780,712,916,13776,13780
13800,806,1017,13796,13800
13820,712,916,13816,13820
13840,712,916,13835,13840
13860,712,916,13856,13860
13880,10,203,13876,13880
13900,10,203,13895,13900
13920,10,203,13916,13920
13940,10,203,13935,13940
13960,712,916,13956,13960
13980,10,203,13976,13980
14000,7,566,13995,14000
14020,712,916,14015,14020
14040,10,203,14036,14040
14060,712,916,14055,14060
14080,712,916,14076,14080
14100,10,203,14095,14100
14120,712,916,14115,14120
14140,712,916,14135,14140
14160,772,986,14156,14160
14180,712,916,14176,14180
14200,10,203,14195,14200
14220,712,916,14216,14220
14240,712,916,14235,14240
14260,10,203,14256,14260
14280,10,203,14275,14280
14300,209,1014,14296,14300
14320,712,916,14315,14320
14340,10,203,14336,14340
14360,712,916,14355,14360
14380,712,916,14375,14380
14400,712,916,14396,14400
14420,712,916,14415,14420
14440,10,203,14435,14440
14460,712,916,14456,14460
14480,712,916,14475,14480
14500,77,476,14496,14500
14520,712,916,14516,14520
14540,10,203,14535,14540
14560,944,987,14555,14560
14580,712,916,14575,14580
14600,712,916,14595,14600
14620,749,960,14615,14620
14640,10,203,14635,14640
14660,712,916,14656,14660
14680,10,203,14675,14680
14700,10,203,14696,14700
14720,712,916,14715,14720
14740,313,939,14735,14740
14760,10,203,14755,14760
14780,712,916,14776,14780
14800,712,916,14796,14800
14820,712,916,14815,14820
14840,746,983,14835,14840
14860,189,655,14855,14860
14880,712,916,14876,14880
14900,712,916,14895,14900
14920,712,916,14915,14920
14940,10,203,14935,14940
14960,462,887,14956,14960
14980,712,916,14975,14980
15000,10,203,14996,15000
15020,712,916,15015,15020
15040,10,203,15036,15040
15060,10,203,15055,15060
15080,10,203,15076,15080
15100,214,531,15096,15100
15120,10,203,15115,15120
15140,221,978,15135,15140
15160,712,916,15155,15160
15180,397,477,15176,15180
15200,10,203,15196,15200
15220,712,916,15215,15220
15240,666,695,15236,15240
15260,712,916,15255,15260
15280,712,916,15276,15280
15300,10,203,15295,15300
15320,10,203,15316,15320
15340,712,916,15336,15340
15360,10,203,15356,15360
15380,10,203,15376,15380
15400,10,203,15395,15400
15420,10,203,15416,15420
15440,10,203,15435,15440
15460,712,916,15455,15460
15480,10,203,15476,15480
15500,712,916,15496,15500
15520,768,993,15515,15520
15540,10,203,15536,15540
15560,10,203,15556,15560
15580,10,203,15575,15580
15600,10,203,15596,15600
15620,712,916,15616,15620
15640,10,203,15636,15640
15660,712,916,15655,15660
15680,10,203,15676,15680
15700,393,909,15696,15700
15720,10,203,15716,15720
15740,975,975,15736,15740
15760,712,916,15756,15760
15780,712,916,15776,15780
15800,10,203,15796,15800
15820,10,203,15816,15820
15840,712,916,15836,15840
15860,10,203,15856,15860
15880,712,916,15875,15880
15900,122,145,15896,15900
15920,712,916,15916,15920
15940,712,916,15936,15940
15960,10,203,15955,15960
15980,10,203,15975,15980
16000,712,916,15996,16000
16020,10,203,16015,16020
16040,712,916,16036,16040
16060,10,203,16056,16060
16080,10,203,16075,16080
16100,885,907,16096,16100
16120,704,974,16115,16120
16140,10,203,16135,16140
16160,712,916,16155,16160
16180,712,916,16175,16180
16200,10,203,16195,16200
16220,10,203,16215,16220
16240,10,203,16235,16240
16260,712,916,16255,16260
16280,10,203,16275,16280
16300,712,916,16296,16300
16320,10,203,16315,16320
16340,712,916,16336,16340
16360,712,916,16355,16360
16380,10,203,16375,16380
16400,712,916,16395,16400
16420,712,916,16416,16420
16440,338,474,16435,16440
16460,712,916,16456,16460
16480,712,916,16475,16480
16500,712,916,16496,16500
16520,712,916,16516,16520
16540,712,916,16535,16540
16560,10,203,16555,16560
16580,10,203,16575,16580
16600,10,203,16595,16600
16620,10,203,16615,16620
16640,712,916,16636,16640
16660,528,972,16656,16660
16680,712,916,16676,16680
16700,712,916,16696,16700
16720,712,916,16716,16720
16740,10,203,16735,16740
16760,583,881,16755,16760
16780,10,203,16776,16780
16800,10,203,16796,16800
16820,819,827,16816,16820
16840,712,916,16836,16840
16860,712,916,16855,16860
16880,712,916,16876,16880
16900,10,203,16896,16900
16920,712,916,16915,16920
16940,712,916,16936,16940
16960,10,203,16956,16960
16980,10,203,16976,16980
17000,10,203,16995,17000
17020,10,203,17016,17020
17040,10,203,17036,17040
17060,10,203,17056,17060
17080,10,203,17075,17080
17100,712,916,17096,17100
17120,10,203,17116,17120
17140,10,203,17136,17140
17160,301,587,17156,17160
17180,712,916,17175,17180
17200,134,572,17195,17200
17220,10,203,17216,17220
17240,820,994,17236,17240
17260,10,203,17256,17260
17280,712,916,17275,17280
17300,712,916,17295,17300
17320,712,916,17316,17320
17340,10,203,17336,17340
17360,10,203,17355,17360
17380,877,1002,17375,17380
17400,567,960,17395,17400
17420,10,203,17416,17420
17440,712,916,17436,17440
17460,10,203,17456,17460
17480,712,916,17475,17480
17500,10,203,17496,17500
17520,712,916,17516,17520
17540,10,203,17536,17540
17560,10,203,17555,17560
17580,712,916,17575,17580
17600,10,203,17596,17600
17620,829,996,17616,17620
17640,10,203,17635,17640
17660,712,916,17655,17660
17680,195,644,17675,17680
17700,10,203,17696,17700
17720,10,203,17716,17720
17740,10,203,17735,17740
17760,712,916,17756,17760
17780,37,814,17775,17780
17800,10,203,17795,17800
17820,10,203,17816,17820
17840,10,203,17835,17840
17860,10,203,17856,17860
17880,515,668,17875,17880
17900,10,203,17895,17900
17920,10,203,17915,17920
17940,712,916,17935,17940
17960,10,203,17956,17960
17980,712,916,17975,17980
18000,10,203,17996,18000
18020,712,916,18015,18020
18040,744,904,18035,18040
18060,10,203,18056,18060
18080,712,916,18076,18080
18100,712,916,18096,18100
18120,712,916,18115,18120
18140,10,203,18136,18140
18160,10,203,18156,18160
18180,21,852,18176,18180
18200,10,203,18196,18200
18220,10,203,18216,18220
18240,10,203,18235,18240
18260,854,939,18256,18260
18280,712,916,18275,18280
18300,10,203,18295,18300
18320,441,449,18315,18320
18340,712,916,18336,18340
18360,712,916,18355,18360
18380,712,916,18375,18380
18400,712,916,18396,18400
18420,954,974,18416,18420
18440,712,916,18435,18440
18460,712,916,18455,18460
18480,712,916,18476,18480
18500,712,916,18495,18500
18520,935,1005,18515,18520
18540,10,203,18536,18540
18560,712,916,18555,18560
18580,712,916,18575,18580
18600,10,203,18595,18600
18620,712,916,18615,18620
18640,10,203,18635,18640
18660,10,203,18656,18660
18680,712,916,18676,18680
18700,695,917,18696,18700
18720,712,916,18715,18720
18740,712,916,18736,18740
18760,712,916,18756,18760
18780,10,203,18775,18780
18800,10,203,18796,18800
18820,712,916,18815,18820
18840,712,916,18836,18840
18860,712,916,18856,18860
18880,10,203,18876,18880
18900,712,916,18896,18900
18920,10,203,18915,18920
18940,712,916,18935,18940
18960,712,916,18955,18960
18980,712,916,18975,18980
19000,10,203,18996,19000
19020,10,203,19016,19020
19040,712,916,19035,19040
19060,10,203,19056,19060
19080,818,828,19076,19080
19100,10,203,19095,19100
19120,10,203,19115,19120
19140,501,1005,19136,19140
19160,10,203,19156,19160
19180,712,916,19175,19180
19200,712,916,19196,19200
19220,712,916,19216,19220
19240,10,203,19235,19240
19260,841,844,19255,19260
19280,10,203,19276,19280
19300,712,916,19295,19300
19320,10,203,19315,19320
19340,719,849,19336,19340
19360,10,203,19355,19360
19380,674,681,19376,19380
19400,712,916,19396,19400
19420,10,203,19415,19420
19440,10,203,19435,19440
19460,712,916,19456,19460
19480,10,203,19475,19480
19500,350,974,19495,19500
19520,533,694,19515,19520
19540,712,916,19536,19540
19560,10,203,19555,19560
19580,10,203,19575,19580
19600,378,666,19595,19600
19620,712,916,19616,19620
19640,712,916,19636,19640
19660,10,203,19655,19660
19680,360,547,19675,19680
19700,10,203,19696,19700
19720,10,203,19715,19720
19740,153,343,19736,19740
19760,647,868,19756,19760
19780,712,916,19775,19780
19800,712,916,19795,19800
19820,712,916,19816,19820
19840,712,916,19835,19840
19860,712,916,19855,19860
19880,712,916,19876,19880
19900,10,203,19896,19900
19920,10,203,19916,19920
19940,610,689,19935,19940
19960,712,916,19956,19960
19980,10,203,19976,19980
20000,712,916,19996,20000
20020,10,203,20016,20020
20040,712,916,20036,20040
20060,712,916,20055,20060
20080,1,873,20075,20080
20100,712,916,20096,20100
20120,10,203,20115,20120
20140,3,894,20135,20140
20160,712,916,20156,20160
20180,10,203,20176,20180
20200,10,203,20196,20200
20220,412,509,20215,20220
20240,220,248,20236,20240
20260,10,203,20256,20260
20280,712,916,20276,20280
20300,712,916,20295,20300
20320,712,916,20316,20320
20340,10,203,20336,20340
20360,10,203,20356,20360
20380,10,203,20375,20380
20400,712,916,20395,20400
20420,10,203,20416,20420
20440,10,203,20436,20440
20460,10,203,20456,20460
20480,712,916,20475,20480
20500,712,916,20496,20500
20520,712,916,20515,20520
20540,712,916,20535,20540
20560,206,686,20556,20560
20580,10,203,20576,20580
20600,10,203,20596,20600
20620,10,203,20615,20620
20640,10,203,20636,20640
20660,10,203,20656,20660
20680,574,989,20676,20680
20700,712,916,20696,20700
20720,10,203,20716,20720
20740,712,916,20735,20740
20760,748,811,20756,20760
20780,712,916,20776,20780
20800,642,749,20795,20800
20820,10,203,20815,20820
20840,10,203,20835,20840
20860,10,203,20855,20860
20880,10,203,20875,20880
20900,998,1001,20896,20900
20920,426,692,20916,20920
20940,10,203,20935,20940
20960,10,203,20955,20960
20980,10,203,20976,20980
21000,712,916,20996,21000
21020,712,916,21016,21020
21040,10,203,21036,21040
21060,10,203,21056,21060
21080,10,203,21075,21080
21100,712,916,21096,21100
21120,712,916,21115,21120
21140,10,203,21136,21140
21160,658,940,21155,21160
21180,712,916,21175,21180
21200,712,916,21196,21200
21220,10,203,21215,21220
21240,10,203,21236,21240
21260,699,801,21256,21260
21280,10,203,21275,21280
21300,10,203,21295,21300
21320,712,916,21316,21320
21340,712,916,21336,21340
21360,712,916,21356,21360
21380,10,203,21376,21380
21400,10,203,21396,21400
